CASE;Geschlecht;Alter;Familienstand;Beruflicher Status;Branche;Mitarbeiteranzahl;UN-Zugehoerigkeit;Wochenarbeitszeit;Branche Sonstiges;Autonomie_1;OC_1;Kompetenz_1;Zugehoerigkeit_3;Zugehoerigkeit_4;Autonomie_2;OC_5;Kompetenz_4;Autonomie_3;OC_4;Kompetenz_5;Autonomie_4;Zugehoerigkeit_2;Kompetenz_6;Zugehoerigkeit_6;Autonomie_5;Kompetenz_3;OC_2;Zugehoerigkeit_5;Autonomie_6;Kompetenz_2;Zugehoerigkeit_1;OC_3;PE_UN;PE_Gesamt;PE_UN1;PE_UN2;PE_UN3;PE_UN4;PE_UN5;PE_UN6;PE_UN7;PE_UN8;PE_UN9;MAG;MAG-Haeufigkeit;MAG1;MAG2;MAG3;MAG4;MAG5;MAG6;JR;JR1;JR2;JR3;JR4;JR5;JR6;Mentoring;Mentoring1;Mentoring2;Mentoring3;Mentoring4;Mentoring5;Mentoring6;Laufbahn;Laufbahn1;Laufbahn2;Laufbahn3;Laufbahn4;Laufbahn5;Laufbahn6;
913;2;24;1;3;21;2;4;40;;4;5;4;5;4;4;5;4;3;5;4;4;4;4;4;4;5;1;4;5;4;4;5;1;5;2;1;2;1;1;2;2;2;1;1;1;5;4;4;4;4;4;1;4;4;4;3;4;5;2;;;;;;;2;;;;;;;
922;1;25;1;1;20;5;6;38;;4;3;4;4;3;1;2;4;3;2;4;3;2;4;3;2;2;4;4;1;4;3;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
928;1;37;2;1;2;5;15;30;;3;2;3;5;2;4;3;4;1;2;4;1;3;5;1;3;5;4;3;3;4;2;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
938;1;32;2;2;10;6;16;40;;4;4;4;4;4;3;4;4;3;4;4;3;4;5;3;4;4;2;4;3;4;4;4;1;4;2;1;2;1;1;1;2;2;1;1;12;4;4;4;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
939;1;36;1;1;3;6;7;40;;4;3;3;2;3;4;2;4;3;2;5;2;3;5;1;4;4;3;2;2;5;2;3;1;3;2;1;2;1;1;1;2;1;1;1;1;4;4;4;2;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
940;2;22;3;1;1;6;4;40;;3;3;4;5;2;3;3;3;4;4;5;2;4;5;2;4;4;2;2;4;5;3;5;1;7;2;1;2;2;2;2;2;2;1;1;2;1;4;4;4;3;5;2;;;;;;;2;;;;;;;2;;;;;;;
945;1;25;1;1;13;6;5;37;;2;3;4;5;4;4;3;5;2;3;5;3;3;5;3;4;5;4;5;3;4;5;4;1;5;2;1;2;1;1;2;2;2;1;1;2;5;5;4;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
946;1;23;1;1;1;6;5;24;;2;3;2;4;2;2;2;2;2;3;4;2;4;3;2;2;4;4;3;2;3;2;3;1;5;2;1;2;1;1;2;2;2;1;1;1;2;3;3;3;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
948;2;24;1;3;12;6;3;38;;4;4;2;5;5;3;4;3;5;4;2;5;3;5;5;5;4;5;3;5;1;5;5;3;1;8;2;2;2;2;2;2;2;2;1;1;12;5;5;5;4;4;5;1;5;5;4;5;5;5;2;;;;;;;1;5;5;5;5;5;5
950;1;24;3;1;21;4;5;38;;4;4;4;4;4;4;3;4;2;3;4;4;4;5;3;4;4;2;4;3;5;4;4;1;3;2;1;2;1;1;1;2;1;1;1;1;4;5;5;5;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
951;1;24;1;3;10;1;0;45;;5;3;5;5;5;5;4;5;2;4;5;2;4;2;4;4;4;2;3;3;4;3;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
952;1;21;1;1;6;6;1;20;;5;3;4;5;3;4;3;4;4;2;5;2;3;4;3;4;4;4;4;2;4;3;3;1;3;2;1;2;2;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
966;2;21;1;1;13;6;3;35;;4;4;4;4;3;3;4;4;4;3;5;4;4;4;2;3;4;3;3;2;4;4;4;1;4;2;2;2;1;1;1;2;1;1;1;4;4;4;4;5;4;4;2;;;;;;;2;;;;;;;1;4;4;4;4;4;4;
967;1;22;1;1;5;2;4;20;;3;2;4;5;5;4;2;4;1;4;5;1;5;4;3;2;5;2;5;1;4;4;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
968;1;24;1;1;1;6;5;35;;4;5;3;5;4;3;4;4;2;4;4;1;4;4;4;3;4;1;4;2;4;5;4;1;4;2;1;2;1;1;1;2;2;1;1;2;4;4;4;4;4;3;2;;;;;;;2;;;;;;;2;;;;;;;
969;1;27;1;1;12;6;7;40;;2;1;5;5;3;3;2;5;2;2;5;2;3;5;3;4;5;1;2;3;5;3;1;1;3;2;1;2;1;1;1;2;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
970;2;25;1;1;10;3;5;40;;4;3;4;4;3;4;3;4;3;3;5;3;5;4;3;4;4;3;3;2;4;3;3;1;3;2;1;2;1;1;1;1;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
972;1;21;1;1;6;2;1;24;;4;4;3;2;3;4;4;2;3;4;4;4;5;3;2;3;3;2;3;4;3;4;4;1;4;2;1;2;2;1;1;1;2;1;2;;;;;;;;2;;;;;;;1;4;4;4;3;4;3;1;4;4;4;3;4;4;
974;1;27;1;1;21;6;5;35;;3;5;2;5;4;4;4;2;2;4;4;2;4;2;3;4;4;2;4;1;2;5;5;1;4;2;1;2;1;1;1;2;2;1;1;2;4;4;4;3;3;4;1;5;4;4;4;2;5;2;;;;;;;2;;;;;;;
975;1;40;1;1;1;6;25;40;;4;5;5;5;4;5;5;5;3;5;5;4;5;1;4;5;5;1;4;3;5;5;5;1;8;2;2;2;2;2;2;2;2;1;1;1;5;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
978;1;27;3;1;1;6;2;40;;4;5;4;5;5;5;5;4;3;5;5;3;4;4;3;4;4;1;4;4;5;5;5;1;5;2;2;2;2;2;1;1;1;1;1;2;4;4;4;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
981;2;24;1;1;7;5;1;40;;5;5;4;5;4;5;5;5;5;5;5;4;5;5;1;5;5;1;5;2;5;5;5;1;7;2;2;2;2;1;1;2;2;2;1;2;4;5;4;5;4;5;1;5;5;2;5;5;5;1;5;5;2;5;5;4;1;4;4;4;5;5;5;
983;1;24;1;1;1;6;6;35;;4;5;4;3;3;2;4;5;1;5;5;4;2;5;2;4;5;1;2;1;5;4;5;1;2;2;1;1;1;1;1;2;1;1;1;2;4;5;2;4;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
984;2;30;1;1;2;5;5;40;;3;3;4;4;4;3;4;4;3;4;4;4;4;4;2;4;5;2;4;3;5;4;4;1;2;2;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;1;4;4;5;3;4;4;
986;1;32;1;1;8;2;7;38;;3;2;3;5;3;3;2;3;2;3;4;2;3;4;2;4;4;2;4;2;4;4;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;;;;;;;2;;;;;;;2;;;;;;;
987;1;24;3;1;1;6;5;45;;2;4;4;5;3;4;3;3;1;4;5;3;4;2;2;3;5;2;2;2;4;2;4;1;5;2;1;2;1;1;2;2;2;1;1;1;2;3;2;2;2;2;1;4;4;4;5;5;5;2;;;;;;;2;;;;;;;
988;1;43;2;1;6;4;2;25;;2;1;3;5;2;2;2;3;2;1;4;1;3;4;1;2;3;5;1;1;4;4;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
991;2;25;1;3;1;6;3;40;;4;5;5;5;3;4;5;5;3;5;4;4;5;5;3;5;5;1;3;2;4;4;5;1;8;2;2;2;2;2;2;2;2;1;1;2;4;4;4;5;5;5;1;5;4;5;5;5;5;1;5;4;5;5;5;5;1;4;5;5;5;4;4;
992;1;48;2;1;6;1;1;20;;4;3;4;5;2;4;4;4;3;5;5;3;3;5;3;4;4;1;4;4;4;5;4;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
993;2;21;1;1;8;4;3;38;;5;5;5;5;5;4;4;4;4;4;5;4;4;5;3;4;4;1;5;3;4;5;5;1;5;2;2;2;1;1;1;2;2;1;1;6;5;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
998;2;26;1;1;14;6;10;40;;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;1;5;3;5;5;4;1;6;2;2;2;1;2;1;2;2;1;1;2;5;5;4;5;5;4;2;;;;;;;2;;;;;;;1;5;5;5;5;5;5;
999;2;23;1;1;19;6;4;39;;4;3;4;5;4;5;3;4;3;3;5;3;4;5;2;4;4;3;3;2;4;4;3;1;4;2;1;2;2;2;1;1;1;1;1;2;2;3;3;4;3;5;2;;;;;;;2;;;;;;;2;;;;;;;
1001;1;25;3;1;6;6;1;40;;5;5;4;5;3;5;5;4;4;4;5;4;4;5;1;4;4;3;4;3;5;5;5;1;8;2;2;2;2;2;2;2;2;1;1;2;5;5;5;5;5;5;2;;;;;;;1;5;5;5;5;5;5;1;5;5;5;5;5;5;
1008;2;26;1;1;9;6;6;40;;4;3;4;5;4;4;3;5;4;4;5;3;2;4;3;4;4;2;3;3;4;4;4;1;6;2;2;2;2;2;1;2;1;1;1;40;4;4;4;3;4;4;2;;;;;;;1;4;4;4;2;3;2;2;;;;;;;
1009;1;26;1;1;20;1;3;39;;2;3;3;4;2;1;5;2;2;3;2;2;2;2;2;2;4;3;3;1;3;4;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011;1;37;2;1;21;4;2;42;;5;5;5;4;5;3;5;5;4;4;5;5;4;5;5;2;5;5;1;4;5;4;5;5;1;5;2;2;2;2;1;1;2;1;1;1;2;4;4;4;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;
1012;1;23;1;3;5;5;1;37;;2;2;2;2;5;3;2;1;4;1;2;3;1;3;1;2;2;5;5;4;1;5;3;1;1;5;1;1;2;1;2;2;2;2;1;1;3;4;4;3;3;2;3;2;;;;;;;2;;;;;;;1;2;2;3;3;2;2
1013;1;28;1;1;19;3;0;40;;5;5;5;5;5;5;4;5;4;4;5;3;3;5;2;5;5;1;5;3;5;5;4;1;4;2;2;2;1;1;1;1;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1014;2;30;1;1;8;6;11;38;;3;3;5;4;3;2;3;4;3;2;5;4;3;4;1;4;5;5;3;1;5;3;4;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;;;;;;;2;;;;;;;2;;;;;;;
1016;2;28;1;1;12;4;1;40;;3;3;4;5;3;5;2;4;5;3;4;2;4;5;4;5;5;3;3;2;4;3;3;1;4;2;2;2;1;1;2;1;1;1;1;3;5;2;2;4;2;4;2;;;;;;;2;;;;;;;2;;;;;;;
1019;1;36;3;2;12;3;7;40;;5;4;4;1;5;5;5;4;3;3;3;3;3;5;2;4;4;2;3;2;4;3;3;1;4;2;1;2;1;1;1;2;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1020;1;41;2;2;12;3;6;40;;4;3;4;5;5;5;3;5;4;3;5;4;4;5;4;5;5;3;4;3;5;5;4;1;4;2;1;2;1;2;1;2;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1022;1;25;1;1;10;5;3;35;;3;2;3;3;1;2;3;4;4;2;4;1;3;3;2;4;4;4;2;2;3;2;3;1;1;1;1;1;1;2;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1028;2;28;1;1;12;6;0;40;;4;3;4;5;3;4;4;3;5;3;5;3;3;4;2;4;3;3;3;3;5;3;4;1;3;2;2;2;1;1;1;1;1;1;1;4;4;4;4;4;4;5;2;;;;;;;2;;;;;;;2;;;;;;;
1029;1;31;3;1;1;6;15;32;;3;4;4;5;3;4;4;4;2;4;4;3;4;4;3;4;4;2;3;3;4;5;4;1;7;2;1;2;2;2;2;2;2;1;1;2;5;4;5;5;4;5;2;;;;;;;2;;;;;;;2;;;;;;;
1031;1;23;1;1;16;6;3;38;;4;4;4;5;4;3;2;2;2;4;4;2;4;3;4;4;4;1;4;1;4;5;4;1;2;2;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;3;2;;;;;;;2;;;;;;;2;;;;;;;
1032;1;27;1;1;8;4;2;38;;3;1;2;4;3;1;3;4;1;3;4;1;3;2;1;2;4;5;3;1;4;3;2;1;8;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;;;;;;;2;;;;;;;2;;;;;;;
1033;1;45;1;1;6;4;6;40;;4;3;5;5;4;4;3;5;3;4;5;3;5;5;2;4;5;2;4;3;5;5;3;1;6;2;2;2;2;1;1;2;2;1;1;1;2;1;1;2;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
1034;2;32;1;1;3;6;3;40;;4;4;5;4;3;5;3;3;4;3;5;2;4;5;4;4;5;2;3;3;5;4;4;1;2;2;1;2;1;1;1;1;1;1;1;1;3;4;3;1;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
1035;1;24;1;1;6;6;5;38;;2;2;2;3;2;2;2;2;5;2;2;5;1;2;3;1;1;5;5;1;1;4;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;4;3;2;4;2;3;2;;;;;;;2;;;;;;;2;;;;;;
1038;2;25;1;1;19;4;5;40;;2;1;2;3;2;3;2;5;4;2;5;2;3;4;1;4;5;4;2;1;5;2;2;1;2;2;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1039;2;34;1;1;14;6;11;41;;5;1;4;5;5;2;3;4;3;1;5;3;3;5;5;4;4;5;5;2;5;3;1;1;4;2;2;2;1;1;1;1;2;1;1;2;3;3;3;2;5;4;2;;;;;;;2;;;;;;;1;3;3;2;4;2;1;
1041;1;28;1;1;14;1;1;39;;4;5;3;5;3;4;4;3;4;4;4;5;3;4;4;4;4;1;4;5;3;4;4;2;2;2;1;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1042;1;25;1;1;13;6;7;35;;2;3;3;5;5;2;2;3;3;4;4;2;4;4;5;2;4;3;5;2;3;5;4;1;3;2;1;2;1;1;1;2;1;1;1;1;1;1;1;3;2;4;2;;;;;;;2;;;;;;;2;;;;;;;
1043;2;29;2;2;2;4;2;40;;3;3;4;2;3;4;3;4;4;3;5;2;4;5;2;4;4;3;1;2;4;5;3;1;5;2;2;2;1;2;1;1;2;1;1;12;5;5;5;5;5;5;2;;;;;;;2;;;;;;;2;;;;;;;
1044;2;33;2;2;10;6;9;50;;3;4;5;5;3;4;4;3;4;3;5;2;4;5;3;4;4;2;4;2;4;4;3;1;6;2;1;2;1;2;2;2;2;1;1;50;5;4;4;4;4;5;1;4;4;4;4;4;4;2;;;;;;;2;;;;;;;
1046;1;25;1;1;17;6;6;30;;5;5;4;5;4;4;5;4;4;5;5;3;4;5;3;4;5;1;4;4;5;5;5;1;5;2;1;2;2;1;1;2;2;1;1;8;4;4;4;4;4;4;1;5;4;4;4;4;4;2;;;;;;;2;;;;;;;
1047;1;26;1;1;10;6;6;37;;5;5;4;5;5;3;3;4;5;3;4;5;4;5;5;3;4;5;1;4;4;5;5;4;1;4;2;1;2;1;1;1;2;2;1;1;1;4;4;4;3;3;3;2;;;;;;;2;;;;;;;2;;;;;;
1048;2;33;1;1;14;3;10;8;;3;3;2;5;2;1;3;1;5;3;3;3;3;3;1;2;3;3;2;3;3;2;3;1;1;1;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1049;1;27;1;1;21;2;4;40;;4;3;4;5;1;3;3;4;4;3;5;4;4;5;3;4;4;3;4;1;5;5;3;1;3;2;1;2;1;1;1;1;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;1;4;3;4;4;4;3;
1050;1;32;2;1;7;4;10;40;;2;1;5;5;2;2;1;5;1;3;5;4;4;5;4;3;5;5;4;1;5;2;1;1;2;2;1;1;1;1;1;2;1;1;1;1;4;4;2;2;1;2;2;;;;;;;2;;;;;;;2;;;;;;;
1052;1;29;2;1;7;3;12;40;;2;3;5;5;4;3;3;5;3;3;5;4;5;5;4;5;4;3;4;3;5;4;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1053;1;27;1;1;6;4;7;40;;4;3;3;5;5;3;2;3;4;3;3;3;5;3;5;3;4;4;5;2;4;5;4;1;4;2;1;2;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;;;;;;;2;;;;;;;2;;;;;;;
1054;2;31;2;1;18;6;12;38;;4;2;4;5;3;4;3;4;2;3;3;4;4;4;4;3;4;3;3;1;5;2;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1055;1;25;1;1;17;6;7;40;;5;4;3;5;5;3;5;5;3;5;5;4;5;5;4;4;5;1;5;2;5;5;5;1;2;2;1;2;1;1;1;1;1;1;1;2;3;5;5;5;1;5;2;;;;;;;2;;;;;;;2;;;;;;;
1056;2;24;1;1;9;6;1;15;;2;5;4;5;2;1;3;5;2;4;5;4;2;5;2;2;5;3;4;1;4;4;5;1;4;2;1;1;1;1;2;2;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1057;2;23;1;1;13;6;7;35;;5;3;5;5;3;4;4;5;3;5;4;3;5;5;1;4;4;3;3;2;4;4;3;1;4;2;1;2;2;1;1;1;2;1;1;3;3;4;4;5;4;5;2;;;;;;;2;;;;;;;1;3;4;4;3;4;2;
1058;2;33;1;1;16;5;2;30;;3;4;5;3;1;4;4;4;4;5;5;4;4;5;2;4;5;2;4;4;5;3;5;1;3;2;1;1;1;2;1;1;2;1;1;12;4;4;4;3;1;4;2;;;;;;;2;;;;;;;2;;;;;;;
1059;2;33;2;2;10;6;4;35;;4;1;5;3;1;2;1;5;3;2;5;2;2;5;1;3;5;5;1;1;5;3;1;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1060;1;29;1;1;20;6;13;38;;4;4;4;4;5;4;5;4;4;4;4;4;4;4;5;3;4;4;1;4;3;4;5;4;1;6;2;1;2;1;2;2;2;2;1;1;1;3;4;4;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;
1062;2;38;3;1;7;6;21;35;;4;4;4;5;2;2;4;4;3;2;3;2;2;4;5;4;5;2;5;1;5;3;2;1;6;2;2;2;2;2;2;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1063;1;30;2;4;6;1;5;30;;4;4;4;5;4;4;4;4;5;5;4;4;5;5;5;3;4;1;5;4;4;5;5;1;1;2;1;1;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1064;2;24;1;1;20;6;5;50;;5;3;5;5;5;3;3;5;3;3;5;4;4;5;3;5;5;3;5;2;5;3;4;1;6;2;2;2;1;2;1;2;2;1;1;2;5;5;5;5;4;5;2;;;;;;;2;;;;;;;1;4;3;3;3;4;4;
1067;1;19;1;3;11;1;1;40;;3;2;4;4;2;3;3;4;1;3;4;2;4;1;1;1;5;4;3;2;4;3;3;1;1;1;1;1;1;2;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1072;2;24;1;1;21;6;6;40;;3;2;4;3;2;4;3;4;2;2;4;3;3;4;3;3;5;4;3;1;5;3;2;1;2;1;1;2;1;1;1;2;1;1;1;2;2;4;4;5;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
1073;1;23;1;1;20;6;5;38;;4;4;5;5;3;4;4;5;3;4;5;4;4;5;3;4;5;2;4;4;4;4;5;1;6;2;1;2;2;2;1;2;2;1;1;1;4;4;4;4;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
1177;1;28;2;1;10;6;6;28;;2;2;5;4;2;3;2;5;3;2;4;3;3;5;2;3;5;3;3;3;5;3;2;1;8;2;2;2;2;2;2;2;2;1;1;1;4;2;2;2;2;2;2;;;;;;;2;;;;;;;2;;;;;;;
1213;2;32;2;1;14;6;11;32;;3;4;2;1;3;3;2;2;4;3;2;4;2;4;5;3;2;4;2;5;2;2;3;1;4;2;1;2;1;1;1;2;2;1;1;1;2;5;4;4;4;3;2;;;;;;;2;;;;;;;2;;;;;;;
1214;1;26;1;1;6;6;1;38;;4;3;4;5;4;5;3;4;4;3;5;4;5;5;4;4;4;2;5;1;5;5;3;1;2;2;1;1;1;1;1;1;2;1;1;1;4;4;5;5;5;4;2;;;;;;;2;;;;;;;2;;;;;;;
1221;1;56;4;2;4;1;3;40;;4;4;4;4;2;5;5;4;4;4;3;3;3;4;5;4;4;1;5;4;4;5;4;1;4;2;1;2;1;2;1;1;2;1;1;1;5;5;5;5;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
1235;1;51;1;1;4;1;15;40;;5;4;5;4;5;3;5;4;1;5;4;4;4;5;5;4;5;1;5;1;5;5;5;1;4;2;1;2;1;1;2;1;2;1;2;;;;;;;;1;4;4;5;5;5;4;2;;;;;;;2;;;;;;;
1241;1;27;2;1;2;2;6;30;;4;4;4;4;3;5;4;4;5;5;4;4;5;5;4;4;4;1;4;4;4;5;4;1;4;1;1;2;2;1;2;1;2;1;2;;;;;;;;1;5;4;5;4;4;5;1;4;4;5;4;5;4;2;;;;;;;
1242;2;30;3;1;5;6;1;50;;5;5;3;5;3;4;3;4;3;4;5;1;5;3;3;5;4;3;4;2;4;3;3;1;6;2;1;2;2;2;1;2;2;1;1;12;5;5;5;5;5;4;2;;;;;;;1;4;3;5;4;3;3;2;;;;;;;
1328;1;21;1;1;2;4;3;39;;2;2;3;3;1;1;3;4;2;3;4;1;3;4;3;4;4;3;4;2;3;3;2;1;6;2;2;2;1;2;1;2;2;1;1;54;2;3;4;3;2;2;2;;;;;;;2;;;;;;;1;1;1;1;2;1;1;
1412;2;25;1;1;19;4;2;40;;4;2;3;5;4;2;1;2;3;3;4;3;4;3;4;5;4;2;4;1;4;3;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1413;2;26;1;1;3;6;5;40;;5;3;4;5;4;4;3;4;3;5;5;4;4;4;2;4;5;2;3;2;5;4;4;1;2;2;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1417;1;24;1;1;17;6;4;40;;4;2;3;5;4;4;3;4;4;3;5;4;4;5;2;4;5;4;5;1;5;3;3;1;2;2;1;1;1;1;1;1;2;1;1;1;3;4;4;5;3;4;2;;;;;;;2;;;;;;;2;;;;;;;
1421;2;22;1;1;1;6;4;35;;3;2;3;3;2;2;2;3;4;2;5;2;2;4;1;1;3;4;2;3;2;4;2;1;1;1;1;2;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;1;5;4;4;3;3;2;
1423;2;22;1;1;21;5;4;37;;4;4;4;4;5;4;3;4;4;2;3;4;3;4;4;3;3;5;3;4;4;4;5;4;1;5;2;1;2;1;1;2;2;2;1;1;1;4;4;4;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;
1426;2;27;3;1;12;2;1;40;;4;4;4;4;4;4;4;4;2;5;4;4;5;4;3;4;4;2;3;3;4;4;4;1;4;2;2;1;2;1;1;1;2;1;1;2;4;4;4;4;3;4;2;;;;;;;1;3;4;4;3;4;3;2;;;;;;;
1428;1;31;1;1;2;6;12;45;;4;2;4;5;3;3;3;3;4;2;4;3;4;5;3;3;4;2;4;2;4;4;2;1;3;2;1;2;1;2;1;1;1;1;1;2;4;3;3;3;2;3;2;;;;;;;2;;;;;;;2;;;;;;;
1429;1;24;1;1;3;6;2;40;;4;4;3;5;5;3;3;3;5;3;3;5;4;4;5;2;4;5;2;3;3;5;4;3;1;8;2;2;2;2;1;2;2;2;2;1;12;4;3;3;4;4;4;2;;;;;;;1;4;4;4;4;4;4;1;4;4;4;4;4;4
1430;2;19;1;3;21;2;1;40;;3;3;4;4;2;1;3;4;1;2;4;3;2;2;1;2;4;4;1;1;4;2;3;1;2;2;1;2;1;1;1;1;1;1;1;25;3;4;4;4;3;2;2;;;;;;;2;;;;;;;1;4;4;4;3;5;4;
1434;1;22;1;1;3;2;4;40;;4;3;2;4;3;2;2;2;1;3;3;3;3;2;2;3;4;4;4;2;4;3;3;2;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1437;1;30;1;1;14;4;12;39;;4;4;4;4;3;3;4;3;3;4;4;4;3;4;4;3;4;2;3;3;4;3;4;1;2;2;1;2;1;1;1;1;1;1;1;1;3;4;3;3;4;3;1;3;3;2;4;3;2;1;3;2;3;4;2;4;2;;;;;;;
1446;1;27;1;1;14;2;8;39;;5;2;4;5;5;4;2;4;1;2;4;4;4;5;3;4;5;4;5;1;5;2;2;1;2;2;1;2;1;1;1;1;1;1;1;2;4;3;3;3;3;3;2;;;;;;;2;;;;;;;2;;;;;;;
1456;1;25;2;1;2;6;5;40;;2;2;4;5;3;2;2;4;2;2;3;2;2;3;5;2;3;4;4;1;3;3;2;1;1;2;1;1;1;1;1;1;1;1;1;4;3;3;2;2;2;2;2;;;;;;;2;;;;;;;2;;;;;;;
1458;1;29;1;1;8;4;10;40;;4;3;5;5;3;4;4;4;4;4;5;4;4;5;3;4;4;3;4;3;5;2;4;1;3;2;1;2;1;1;1;1;2;1;1;1;4;4;4;5;4;5;2;;;;;;;2;;;;;;;2;;;;;;;
1486;1;26;1;1;21;4;6;40;;4;3;4;4;3;3;3;4;2;4;5;4;5;4;2;4;4;3;3;2;4;5;3;1;1;2;1;1;1;1;1;1;1;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;;
1492;2;23;1;1;10;6;1;35;;3;3;3;3;2;2;4;4;5;2;5;1;1;5;2;5;5;3;2;1;5;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;2;;;;;;;2;;;;;;;2;;;;;;;
1498;2;24;1;1;6;2;1;32;;3;4;5;5;3;3;4;5;2;4;5;4;4;5;1;4;4;2;4;3;5;4;5;1;5;2;2;2;1;1;1;2;2;1;1;4;4;4;3;5;5;5;2;;;;;;;2;;;;;;;1;5;5;5;5;5;5;
1536;1;24;1;1;9;6;1;38;;2;1;2;1;3;3;2;2;3;2;2;3;3;2;4;2;1;4;3;3;2;3;2;1;2;2;1;2;1;1;1;1;1;1;1;2;2;3;3;2;3;2;2;;;;;;;2;;;;;;;2;;;;;;;
1537;1;27;3;1;5;1;7;38;;4;4;3;3;5;4;2;3;5;3;3;5;3;3;3;4;4;5;2;4;1;5;4;3;1;3;2;1;2;1;1;1;1;2;1;2;;;;;;;;2;;;;;;;2;;;;;;;2;;;;;;
1544;2;25;1;1;16;2;1;32;;3;3;5;5;1;5;4;5;3;3;5;3;4;5;1;4;5;3;3;1;5;5;4;1;2;1;1;2;1;1;1;2;1;1;1;5;5;4;3;4;4;4;2;;;;;;;2;;;;;;;2;;;;;;;
